MYEAR	SDATE	STIME	SHIPC	SHARKID_MD5	STATN	LATIT_DD	LONGI_DD	SEA_AREA_CODE	SEA_AREA_NAME	SEA_BASIN	WATER_DISTRICT	WATER_TYPE_AREA	WLTYP	MNDEP	MXDEP	BIOV_CONC_ALL	Q_BIOV_CONC_ALL
2016	2016-09-05		77SN	6b14f27ee1f600d84bcb8e3fd5371668	INSTÖ RÄNNA	57.90117	11.66667	575500-113750	Älgöfjorden	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	1.1945329756	
2016	2016-09-05		77SN	1b53f6435d27dc99d47caec1fc01a45a	KOLJÖFJORD	58.23000	11.58000	581260-113220	Koljö fjord	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.4248541637	
2016	2016-09-05		77SN	89b04e58e0934e5b54be70b964acf645	ÅSTOL	57.91970	11.59330	575340-113000	Marstrandsfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.4839248195	
2016	2016-08-26		34AR	b9b30d87c8d10191297a78ffe13915ae	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.1154276583	
2016	2016-08-02		77SN	c6752552b4beb87ae488fb3844b284d3	BYTTELOCKET	58.35333	11.24000	582147-111771	Kungshamn s skärgård	Skagerrak	Västerhavets vattendistrikt	01n - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	0.3282483598	
2016	2016-08-02		77NE	3f881ade948d11d5d2d95bfc80ecdbde	KOSTERFJORDEN (NR16)	58.86830	11.10330	585100-110600	S Kosterfjorden	Skagerrak	Västerhavets vattendistrikt	03 - Västkustens yttre kustvatten. Skagerrak	2 - Havsområde innanför 1 NM	0	10	0.4118053816	
2016	2016-08-02		77SN	01494530e29448272b262a84e1e671bf	SKALKORGARNA	57.67883	11.76833	574050-114780	Rivö fjord		Västerhavets vattendistrikt	25 - Göta älvs- och Nordre älvs estuarie	1 - Estuarie (övergångsvatten)	0	10	2.777690971	
2016	2016-08-02		77SN	62f695055a81fcca0c07befb099597b7	SLÄGGÖ	58.25830	11.43330	581700-113000	Gullmarn centralbassäng	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.4291179606	
2016	2016-08-01		77SN	0be6a78e0c3e355b7fdc5faa0741aac4	DANAFJORD	57.66750	11.68670	574000-114230	Dana fjord	N Kattegatt	Västerhavets vattendistrikt	01s - Västkustens inre kustvatten	2 - Havsområde innanför 1 NM	0	10	1.832851163	
2016	2016-08-01		77SN	a3306bebe3588e4ba02d2608f7ac136e	GALTERÖ	58.10917	11.81000	580688-114860	Halsefjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	1.297665646	
2016	2016-08-01		77SN	bb4abe6187e114dc60df82fe3e5f650c	HAVSTENSFJORD	58.31250	11.77330	581740-114820	Havstensfjorden	Skagerrak	Västerhavets vattendistrikt	02 - Västkustens fjordar	2 - Havsområde innanför 1 NM	0	10	0.30022589302	
