BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.2129884535	0	65.73_22.45	0.16		2015-07-14	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	0.8617857952463033	7	0.7512144314433458	7_SE654470-222700
0.12954397967	0	65.73_22.45	0.16		2015-08-05	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0	8	1.0	8_SE654470-222700
0.248666754	0	65.73_22.45	0.16		2016-06-15	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	0.8019063385619383	9	0.6434314094114889	9_SE654470-222700
0.131106336	0	65.73_22.45	0.16		2016-07-20	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0	10	1.0	10_SE654470-222700
0.1506331359	0	65.73_22.45	0.16		2016-08-17	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0	11	1.0	11_SE654470-222700
0.5293656801	0	63.50_19.82	0.16		2013-06-04	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.465524771120062	0	0.30224853256405887	0_SE633000-195000
0.2103842164	0	63.52_19.81	0.16		2013-06-27	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.8669518473756888	1	0.7605133252762397	1_SE633000-195000
0.3373833064	0	63.50_19.82	0.16		2013-07-16	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.6421314724369709	2	0.4742380460588194	2_SE633000-195000
0.2591535158	0	63.52_19.81	0.16		2013-08-13	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.7784711166131423	3	0.6173946724437994	3_SE633000-195000
0.5692716638	0	63.50_19.82	0.16		2013-08-27	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.44322198858721673	4	0.2810608891578559	4_SE633000-195000
1.1834600085	0	63.52_19.81	0.16		2014-06-03	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.26899599358113846	5	0.13519679486491074	5_SE633000-195000
0.5207962167	0	63.50_19.82	0.16		2014-06-12	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.4707598882540848	6	0.30722189384138054	6_SE633000-195000
