YEAR	local_EQR	PHOS	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
2015	0.19269832334847817	1.288333333333333	6.55	2	SE580000-164060	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.585	0.1328953954127436	BAD	(2, 'SE580000-164060')
2016	0.41173215273934705	0.6023333333333333	6.233333333333333	1	SE580000-164060	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	0.6773333333333333	0.3623095369857961	POOR	(3, 'SE580000-164060')
2013	0.5745343863669851	0.4615	7.290000000000001	5	SE554800-142001	07 - Skånes kustvatten	0.8435	0.5186041774923668	MODERATE	(0, 'SE554800-142001')
2014	0.5341707611530621	0.49499999999999994	7.625	6	SE554800-142001	07 - Skånes kustvatten	0.8833333333333333	0.4801626296695829	MODERATE	(1, 'SE554800-142001')
2015	0.45266915775382444	0.57	8.508333333333333	6	SE554800-142001	07 - Skånes kustvatten	0.93	0.4025420550036423	MODERATE	(2, 'SE554800-142001')
2016	0.4056629343098142	0.631	7.7829999999999995	5	SE554800-142001	07 - Skånes kustvatten	0.8869999999999999	0.34457866788726776	POOR	(3, 'SE554800-142001')
2016	0.5865300000000001	0.6666666666666666	18.540000000000003	1	SE562450-122751	05 - Södra Hallands och norra Öresunds kustvatten	1.1500000000000001	0.527417391304348	MODERATE	(0, 'SE562450-122751')
2014	0.2369811320754717	0.9275	2.4749999999999996	1	SE658352-163189	24 - Stockholms inre skärgård och Hallsfjärden	1.1775	0.16343526350032533	BAD	(0, 'SE658352-163189')
2015	0.22267007672634273	0.9775	2.2075	1	SE658352-163189	24 - Stockholms inre skärgård och Hallsfjärden	1.2249999999999999	0.15356557015609845	BAD	(1, 'SE658352-163189')
2016	0.18898723404255321	1.1749999999999998	2.7575	1	SE658352-163189	24 - Stockholms inre skärgård och Hallsfjärden	1.4500000000000002	0.13033602347762294	BAD	(2, 'SE658352-163189')
2013	0.19375527426160338	1.185	3.7	1	SE594670-185500	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2.12	0.13362432707696786	BAD	(0, 'SE594670-185500')
2014	0.6486424378668665	0.38916666666666666	2.7	2	SE594670-185500	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.09	0.5896749435153332	MODERATE	(1, 'SE594670-185500')
2015	0.40358014184397173	0.61	4.058333333333333	2	SE594670-185500	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.2091666666666667	0.3514401891252957	POOR	(2, 'SE594670-185500')
2014	0.5321739130434783	0.46	5.6	1	SE594800-190220	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.86	0.4837944664031621	MODERATE	(0, 'SE594800-190220')
2015	0.49632653061224496	0.49	5.4	1	SE594800-190220	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.64	0.4512059369202227	MODERATE	(1, 'SE594800-190220')
2013	0.37826086956521743	0.46	3.7	1	SE601000-183510	16 - Södra Bottenhavet. Inre kustvatten	0.93	0.3228260869565218	POOR	(0, 'SE601000-183510')
2014	0.5351351351351352	0.37	4.9	1	SE601000-183510	16 - Södra Bottenhavet. Inre kustvatten	0.59	0.4906048906048907	MODERATE	(1, 'SE601000-183510')
2015	0.6962962962962963	0.27	4.4	1	SE601000-183510	16 - Södra Bottenhavet. Inre kustvatten	0.67	0.6617283950617283	GOOD	(2, 'SE601000-183510')
