VISS_EU_CD	local_EQR	NTOT	SALT	YEAR_count	WATER_TYPE_AREA	DIN	global_EQR	STATUS	index_column
SE582000-112350	1.1708163850135196	17.472916666666666	27.28529166666666	5	['01n - Västkustens inre kustvatten']	6.033499999999999	1.0	HIGH	(0, 'SE582000-112350')
SE581260-113220	0.8221101437683863	26.68	22.3812	5	['02 - Västkustens fjordar']	13.391499999999999	0.6713558750408584	GOOD	(0, 'SE581260-113220')
SE574000-114230	0.8675894221691071	20.310416666666665	23.31765	5	['01s - Västkustens inre kustvatten']	7.071270833333332	0.7724209381535712	GOOD	(0, 'SE574000-114230')
SE585100-110600	1.1752833837832273	16.675	30.003300000000003	5	['03 - Västkustens yttre kustvatten. Skagerrak']	7.233500000000001	1.0	HIGH	(0, 'SE585100-110600')
SE572540-114801	0.841644600098773	21.134999999999998	23.5015	5	['04 - Västkustens yttre kustvatten. Kattegatt']	8.0475	0.7147657779972731	GOOD	(0, 'SE572540-114801')
SE555545-124332	0.8227812942904806	20.87333333333333	16.993133333333333	5	['06 - Öresunds kustvatten']	6.171333333333333	0.6879688238174677	GOOD	(0, 'SE555545-124332')
SE561005-150250	0.8501483751377127	20.964166666666667	7.5179166666666655	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	5.297916666666667	0.628995357536322	GOOD	(0, 'SE561005-150250')
SE580610-113615	0.8083894303040303	25.394444444444446	24.88361111111111	3	['01n - Västkustens inre kustvatten']	10.553611111111111	0.6408654006756228	GOOD	(0, 'SE580610-113615')
SE580325-113500	0.9404725595697242	21.692499999999995	25.811666666666667	3	['01n - Västkustens inre kustvatten']	9.454166666666667	0.9007875992828738	HIGH	(0, 'SE580325-113500')
SE580500-114725	0.885232873475029	24.153333333333336	23.39	3	['02 - Västkustens fjordar']	9.666666666666666	0.8087214557917151	HIGH	(0, 'SE580500-114725')
SE581120-112680	0.9521401197999824	20.583333333333332	27.97	3	['02 - Västkustens fjordar']	7.614999999999999	0.9202335329999707	HIGH	(0, 'SE581120-112680')
SE581365-112910	0.9098006262494766	21.728333333333335	26.645	3	['02 - Västkustens fjordar']	10.208333333333334	0.8496677104157943	HIGH	(0, 'SE581365-112910')
SE584750-111185	0.8891376083659716	21.543333333333337	28.397499999999997	3	['01n - Västkustens inre kustvatten']	7.970833333333332	0.8152293472766193	HIGH	(0, 'SE584750-111185')
SE584890-110950	0.5443488592031359	38.598333333333336	25.245	3	['01n - Västkustens inre kustvatten']	15.945	0.33452806965074816	POOR	(0, 'SE584890-110950')
SE582630-113515	0.552441038987998	53.605	17.621666666666666	3	['02 - Västkustens fjordar']	38.693333333333335	0.34404828116235064	POOR	(0, 'SE582630-113515')
SE584450-111445	0.642035274642126	33.235	28.045833333333334	3	['01n - Västkustens inre kustvatten']	16.352500000000003	0.44424765751802736	MODERATE	(0, 'SE584450-111445')
SE584670-111300	0.8843192652223527	22.007500000000004	28.333333333333332	3	['01n - Västkustens inre kustvatten']	8.220833333333333	0.8071987753705879	HIGH	(0, 'SE584670-111300')
SE582150-112530	0.8350113362962842	24.703333333333333	27.575	3	['02 - Västkustens fjordar']	13.236666666666666	0.7000251917695204	GOOD	(0, 'SE582150-112530')
