AMON	DEPH_count	DIN	NTOT	NTRA	NTRI	NTRZ	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_DIN	index_column	local_EQR	new_index
	2	14.715					4.475200000000001	6.6	2013-12-18	POOR	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013	0.21765630309208303		0	0.3041250424736664	0_SE563825-161810
	2	16.485					2.503999999999998	7.0	2015-01-22	BAD	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.10475562946461248		1	0.15189566272368807	1_SE563825-161810
	2	8.105					2.503999999999998	7.05	2015-12-09	POOR	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.22368136952498427		2	0.3089450956199874	2_SE563825-161810
	2	4.945					2.503999999999998	7.05	2016-02-24	MODERATE	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.45124551888960346		3	0.5063700707785638	3_SE563825-161810
	2	15.469999999999999					5.953600000000002	6.3	2016-12-14	POOR	SE563825-161810	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.3185601163542342		4	0.38484809308338735	4_SE563825-161810
	2	32.45					4.9680000000000035	6.5	2013-01-23	BAD	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013	0.10558418787524582		0	0.15309707241910642	0_SE564250-162500
	2	4.325					3.9823999999999984	6.7	2013-12-18	HIGH	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013	0.9207861271676296		1	0.9207861271676296	1_SE564250-162500
	2	17.695					2.9228799999999993	6.915	2015-01-22	BAD	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.11391801697342907		2	0.16518112461147214	2_SE564250-162500
	2	5.695					2.503999999999998	7.1	2015-12-09	POOR	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.38710491659350255		3	0.43968393327480204	3_SE564250-162500
	2	2.1550000000000002					2.503999999999998	7.3	2016-02-24	HIGH	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	1.0		4	1.0	4_SE564250-162500
	2	9.64					4.475200000000001	6.6	2016-12-14	MODERATE	SE564250-162500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.41293851376838936		5	0.4642323651452283	5_SE564250-162500
	4	35.057500000000005					5.696875	1.7375	2013-02-07	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2013	0.11206958027083586		0	0.16250089139271195	0_SE659024-162417
	12	28.879166666666666					5.736875	1.6841666666666664	2013-02-18	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2013	0.13700068159543086		1	0.19865098831337472	1_SE659024-162417
	4	27.3375					4.09	3.8800000000000003	2013-12-16	BAD	SE659024-162417	24 - Stockholms inre skärgård och Hallsfjärden	2013	0.1031802342998597		2	0.14961133973479654	2_SE659024-162417
