BIOV_CONC_ALL	DATE_count	POSITION	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.233457691	1	63.23_18.73		HIGH	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.9408944648360037	9	0.8995205902212062	9_SE631346-184241
0.574036908	1	63.24_18.68		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5198382245584012	10	0.3658301357863213	10_SE631346-184241
0.251794992	1	63.26_18.87		HIGH	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.9023598951810579	0	0.8340118218077983	0_SE631646-185280
0.7037157178	1	63.27_18.87		MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4556342455966183	1	0.2984159578764492	1_SE631646-185280
0.3534603566	1	63.27_18.88		GOOD	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.7372628899468818	2	0.594126034444226	2_SE631646-185280
0.49272748484999995	2	63.28_18.86		GOOD	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.6635633692222032	3	0.5167415376833133	3_SE631646-185280
0.4966144086	1	63.29_18.85		MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.5741555091423154	4	0.4228632845994312	4_SE631646-185280
0.7362078455000001	2	63.27_18.87		MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.4502237537688664	5	0.2927349414573097	5_SE631646-185280
0.7611129711333334	3	63.28_18.86		MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.49236377091785927	6	0.3369819594637522	6_SE631646-185280
0.613920278	1	63.28_18.87		MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.49720376923039417	7	0.34206395769191383	7_SE631646-185280
0.5663603990933334	3	58.61_16.77		BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013		0		0_SE583730-164501
0.7286399553666666	3	58.60_16.84		BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014		1		1_SE583730-164501
1.3348864974666668	3	58.45_16.56		BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2013		0		0_SE582705-163350
1.1046746710333333	3	58.45_16.56		BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2014		1		1_SE582705-163350
0.4244232909166667	3	58.37_16.95		BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013		0		0_SE582050-165820
0.4511253500666666	3	58.37_16.95		BAD	SE582050-165820	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2014		1		1_SE582050-165820
0.6273195850333333	3	58.35_11.24		HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2015	0.9627778660267827	0	0.9385834789441915	0_SE582147-111771
0.6980753999333333	3	58.35_11.24		HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2016	0.9542531540477235	1	0.9245177041787437	1_SE582147-111771
1.7196783281333332	3	58.35_11.24		HIGH	SE582147-111771	01n - Västkustens inre kustvatten	2017	0.8329312788512904	2	0.7243366101046291	2_SE582147-111771
2.5854018963333334	3	58.11_11.81		HIGH	SE580688-114860	02 - Västkustens fjordar	2013	0.8349916280867667	0	0.7359866049388267	0_SE580688-114860
1.0886569926666667	3	58.11_11.81		HIGH	SE580688-114860	02 - Västkustens fjordar	2015	0.9312804207211327	1	0.8900486731538123	1_SE580688-114860
1.051811016	3	58.11_11.81		HIGH	SE580688-114860	02 - Västkustens fjordar	2016	1.0	2	1.0	2_SE580688-114860
2.385539727416667	3	58.11_11.81		HIGH	SE580688-114860	02 - Västkustens fjordar	2017	0.8388994495736831	3	0.7422391193178929	3_SE580688-114860
0.7182775048	3	57.90_11.67		HIGH	SE575500-113750	01n - Västkustens inre kustvatten	2015	0.9177823264190774	0	0.8643408385914776	0_SE575500-113750
2.054995460566667	3	57.90_11.67		GOOD	SE575500-113750	01n - Västkustens inre kustvatten	2016	0.6317061920080236	1	0.5437796440060177	1_SE575500-113750
5.526957455633333	3	57.90_11.67		HIGH	SE575500-113750	01n - Västkustens inre kustvatten	2017	0.8081297438798549	2	0.6834140774017605	2_SE575500-113750
0.235663682	1	62.98_17.70		HIGH	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.9359414085306035	0	0.8911003945020259	0_SE625900-174360
0.2590152994	1	62.99_17.70		HIGH	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8886840695294329	1	0.8107629182000358	1_SE625900-174360
0.2823488974	1	62.99_17.72		HIGH	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8492709717194863	2	0.7437606519231266	2_SE625900-174360
0.2315837656	1	63.00_17.69		HIGH	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.9451760676186088	3	0.9067993149516349	3_SE625900-174360
0.4310941224	1	63.00_17.70		GOOD	SE625900-174360	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.635364379429279	4	0.4871325984007431	4_SE625900-174360
0.4629082511	1	63.07_18.55		GOOD	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.6034796301961433	0	0.4536536117059504	0_SE630383-183500
0.349729456	1	63.07_18.57		GOOD	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.743299189041061	1	0.600464148493114	1_SE630383-183500
0.5562019865	1	63.08_18.60		MODERATE	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.5310101710171231	2	0.37756067956797923	2_SE630383-183500
0.391510814	1	63.08_18.63		GOOD	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.682270144249086	3	0.5363836514615404	3_SE630383-183500
0.3831932616	1	63.09_18.56		GOOD	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.6933584173890985	4	0.5480263382585535	4_SE630383-183500
0.706561675	1	63.10_18.59		MODERATE	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4544894945956821	5	0.2972139693254662	5_SE630383-183500
0.3102063053	1	63.10_18.60		HIGH	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8099816655448614	6	0.6769688314262644	6_SE630383-183500
0.277636913	1	63.11_18.58		HIGH	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8566962188786306	7	0.7563835720936719	7_SE630383-183500
0.54444691	1	63.12_18.58		MODERATE	SE630383-183500	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.5387738466547638	8	0.385712538987502	8_SE630383-183500
0.34143654176666666	3	63.40_20.20		GOOD	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2014	0.6721431459619673	0	0.4449288313657706	0_SE633550-200700
871.2508880969999	5	59.24_18.53		BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013		0		0_SE591400-183200
1.581646091394	5	59.24_18.53		BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014		1		1_SE591400-183200
1.0661443320142856	7	59.24_18.53		BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015		2		2_SE591400-183200
3065.9878697024	5	59.33_18.71		BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013		0		0_SE592040-184000
8.11491396822	5	59.33_18.71		BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014		1		1_SE592040-184000
2.3030746611428574	7	59.33_18.71		BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015		2		2_SE592040-184000
