DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR
6	7.348333333333334	42.800000000000004	16.75711666666667	4.683333333333334	2014-06-16	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.2128015749394254	(2, 'SE591400-183200')	0.39152141744548286
1	0.14	26.39	16.481630000000003	4.89	2014-07-07	MODERATE	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.45867339556994735	(3, 'SE591400-183200')	0.6245407351269421
5	3.5980000000000003	43.93999999999999	16.4683	4.9	2014-07-14	BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.19725822293558204	(4, 'SE591400-183200')	0.3747906235776059
6	2.3979999999999997	42.199999999999996	16.7349	4.7	2014-07-28	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.21840179041600843	(5, 'SE591400-183200')	0.3965616113744076
5	2.056	42.019999999999996	16.8682	4.6	2014-08-11	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.22381405679835006	(6, 'SE591400-183200')	0.40143265111851506
1	0.11	27.26	16.32167	5.01	2014-08-15	MODERATE	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.43521876875875404	(7, 'SE591400-183200')	0.5987406456346295
5	2.832	40.660000000000004	16.70824	4.720000000000001	2014-08-25	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.2343619172541946	(8, 'SE591400-183200')	0.41092572552877515
6	5.585000000000001	39.349999999999994	16.157266666666665	5.133333333333334	2015-06-01	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.23400442373758767	(9, 'SE591400-183200')	0.4106039813638289
5	6.388	40.160000000000004	16.255020000000002	5.06	2015-06-22	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.2275071934484285	(10, 'SE591400-183200')	0.4047564741035857
5	6.803999999999999	42.66	16.255020000000002	5.06	2015-07-06	POOR	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.2011517424597594	(11, 'SE591400-183200')	0.38103656821378346
5	2.4179999999999997	44.339999999999996	16.201700000000002	5.1	2015-07-20	BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.19231417515371654	(12, 'SE591400-183200')	0.3653969327920614
5	3.9219999999999997	45.28	16.228360000000002	5.08	2015-08-02	BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.18863167193602381	(13, 'SE591400-183200')	0.35840017667844526
6	6.333333333333332	46.4	16.0684	5.199999999999999	2015-08-16	BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.18226406533575318	(14, 'SE591400-183200')	0.34630172413793103
5	4.8839999999999995	46.08	16.121720000000003	5.159999999999999	2015-08-30	BAD	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.18413879751461992	(15, 'SE591400-183200')	0.3498637152777779
1	0.15	22.93	15.836458	5.374	2013-07-17	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5187669190817905	(0, 'SE591200-183600')	0.6906436109899695
1	0.08	22.8	15.525869	5.607	2013-08-14	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5099628787878788	(1, 'SE591200-183600')	0.6809591666666667
1	0.26	26.0	16.255020000000002	5.06	2014-07-16	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.45926643356643365	(2, 'SE591200-183600')	0.625193076923077
1	0.14	21.2	15.60185	5.55	2014-08-15	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.5599421097770155	(3, 'SE591200-183600')	0.735936320754717
1	0.17	24.11	16.224361000000002	5.083	2015-07-14	MODERATE	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.502664341465254	(4, 'SE591200-183600')	0.6729307756117794
