DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
2	0.53	0.775	0.2	4.305	2016-02-16	POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.3164779874213837		(1, 'SE628750-183300')	0.37735849056603776
6	0.3933333333333333	0.575	0.2	4.394833333333334	2015-02-18	MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4595431098010318		(0, 'SE631346-184241')	0.5084745762711865
6	0.3316666666666667	0.5433333333333334	0.2	4.448333333333333	2016-02-15	MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5417522394581603		(1, 'SE631346-184241')	0.6030150753768844
6	0.36500000000000005	0.6366666666666667	0.2	4.206	2015-02-16	MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.49386539606908875		(0, 'SE631646-185280')	0.547945205479452
6	0.38833333333333336	0.5833333333333334	0.2	2.091666666666667	2016-02-15	MODERATE	SE631646-185280	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.4652360515021459		(1, 'SE631646-185280')	0.5150214592274678
3	0.73	0.9366666666666666	0.2064	0.8	2013-02-14	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.19499291450165332		(0, 'SE583730-164501')	0.2827397260273973
3	1.28	1.6033333333333333	0.248	6.4	2013-12-10	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.13362068965517243		(1, 'SE583730-164501')	0.19375
3	0.9133333333333332	1.15	0.23600000000000002	4.5	2014-02-13	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.17820286936823565		(2, 'SE583730-164501')	0.25839416058394166
3	0.8433333333333334	1.14	0.2456	5.7	2014-12-16	POOR	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.20163372859025036		(3, 'SE583730-164501')	0.29122529644268774
3	1.1700000000000002	1.45	0.24480000000000002	5.6	2015-02-09	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.14429708222811674		(4, 'SE583730-164501')	0.20923076923076922
3	1.5533333333333335	1.7733333333333334	0.248	6.9	2015-12-08	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.11010803611070002		(5, 'SE583730-164501')	0.15965665236051502
3	1.26	1.3656666666666666	0.248	6.666666666666667	2016-02-09	BAD	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.13574165298303228		(6, 'SE583730-164501')	0.19682539682539682
3	0.7526666666666667	0.9033333333333333	0.248	6.099999999999999	2016-12-08	POOR	SE583730-164501	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.2526601712429879		(7, 'SE583730-164501')	0.3294951284322409
3	2.2900000000000005	2.9800000000000004	0.2008	0.1	2013-02-13	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2013	0.06047282035837975		(0, 'SE582705-163350')	0.08768558951965064
3	3.1966666666666668	3.8699999999999997	0.2368	4.6	2013-12-11	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2013	0.05108769911186222		(1, 'SE582705-163350')	0.0740771637122002
3	2.563333333333333	3.7433333333333336	0.22080000000000002	2.6	2014-02-25	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2014	0.05940540782924534		(2, 'SE582705-163350')	0.08613784135240574
3	1.7433333333333334	2.466666666666667	0.23040000000000002	3.8	2014-12-17	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2014	0.09114524955495486		(3, 'SE582705-163350')	0.13216061185468453
3	2.28	2.646666666666667	0.22960000000000003	3.7	2015-02-10	BAD	SE582705-163350	13 - Östergötlands inre kustvatten	2015	0.0694494857834241		(4, 'SE582705-163350')	0.10070175438596493
