DEPH	DOXY	MONTH	POSITION	SDATE	STATN	VISS_EU_CD	WATER_TYPE_AREA	YEAR	index_column	new_index	source_DOXY
72.0	3.46	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5849	5849_SE581700-113000	DOXY_BTL
0.0	5.95	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5952	5952_SE581700-113000	DOXY_BTL
2.0	5.94	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5953	5953_SE581700-113000	DOXY_BTL
5.0	5.95	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5954	5954_SE581700-113000	DOXY_BTL
10.0	5.94	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5955	5955_SE581700-113000	DOXY_BTL
15.0	5.91	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5956	5956_SE581700-113000	DOXY_BTL
20.0	5.89	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5957	5957_SE581700-113000	DOXY_BTL
30.0	5.55	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5958	5958_SE581700-113000	DOXY_BTL
40.0	4.94	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5959	5959_SE581700-113000	DOXY_BTL
50.0	4.44	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5960	5960_SE581700-113000	DOXY_BTL
60.0	3.95	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5961	5961_SE581700-113000	DOXY_BTL
70.0	2.8	7	58.39_11.63	2017-07-03	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5962	5962_SE581700-113000	DOXY_BTL
0.0	6.21	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6021	6021_SE581700-113000	DOXY_BTL
5.0	6.24	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6022	6022_SE581700-113000	DOXY_BTL
10.0	5.96	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6023	6023_SE581700-113000	DOXY_BTL
15.0	5.84	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6024	6024_SE581700-113000	DOXY_BTL
20.0	5.79	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6025	6025_SE581700-113000	DOXY_BTL
30.0	5.82	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6026	6026_SE581700-113000	DOXY_BTL
40.0	5.53	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6027	6027_SE581700-113000	DOXY_BTL
50.0	4.33	6	58.26_11.44	2017-06-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	6028	6028_SE581700-113000	DOXY_BTL
