Area below limit %	COMMENT	DEFICIENCY_TYPE	GLOBAL_EQR	LIMIT	O2 conc test1	O2 conc test2	STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	index_column	new_index	test1_month_list	test1_no_yr	test2_month_list	test2_no_yr	test2_ok	total_month_list	total_no_yr
0.7461524568975998		no_deficiency	1.0	3.5	4.6125	4.6125	HIGH	SE574000-114230	Dana fjord	1-s	0	0_SE574000-114230	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
4.320151900032814		no_deficiency	1.0	3.5	4.657500000000001	4.657500000000001	HIGH	SE585100-110600	S Kosterfjorden	3	0	0_SE585100-110600	[12 11 10  9  8  7  6  5  4  3  1  2]	5	[5 4 3 1 2]	5	True	[12 11 10  9  8  7  6  5  4  3  1  2]	5
79.53036326066687		seasonal	0.9072857142857143	3.5	3.245	3.245	HIGH	SE555545-124332	N m Öresunds kustvatten	6	0	0_SE555545-124332	[11 10  9  7  6  5  4  3  2  1 12  8]	5	[5 4 3 2 1]	5	True	[11 10  9  7  6  5  4  3  2  1 12  8]	5
0.0		no_deficiency	1.0	3.5	6.375000000000001	6.375000000000001	HIGH	SE561005-150250	Tjäröfjärden	8	0	0_SE561005-150250	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.0		no_deficiency	1.0	3.5	6.0025	6.0025	HIGH	SE580610-113615	Kalvöfjorden	1-n	0	0_SE580610-113615	[ 8  7  6  1 12  2]	3	[1 2]	2	False	[ 8  7  6  1 12  2]	3
0.0		no_deficiency	1.0	3.5	5.78	5.78	HIGH	SE584670-111300	Tanumskilen	1-n	0	0_SE584670-111300	[8 7 6 2 1]	2	[2 1]	1	False	[8 7 6 2 1]	2
0.0		no_deficiency	1.0	3.5	5.17	5.17	HIGH	SE585200-111140	Inre Tjärnöarkipelagen	1-n	0	0_SE585200-111140	[ 8  7  6  1 11]	2	[1]	1	False	[ 8  7  6  1 11]	2
0.0		no_deficiency	1.0	3.5	6.025	6.025	HIGH	SE581853-112736	Trälebergskile	1-n	0	0_SE581853-112736	[ 8  7  6  1 11  2 12]	3	[1 2]	2	False	[ 8  7  6  1 11  2 12]	3
74.63341447966353		no_deficiency	1.0	3.5	5.6975	5.6975	HIGH	SE554040-125750	Lommabukten	6	0	0_SE554040-125750	[ 1 12 11 10  9  8  7  6  5  4  3  2]	5	[1 5 4 3 2]	5	True	[ 1 12 11 10  9  8  7  6  5  4  3  2]	5
0.0		no_deficiency	1.0	3.5	3.7	3.7	HIGH	SE575150-162700	Inre Gamlebyviken	12-s	0	0_SE575150-162700	[12  8  7  6  1]	4	[1]	3	True	[12  8  7  6  1]	4
19.51219512195122		no_deficiency	1.0	3.5	5.925000000000001	5.925000000000001	HIGH	SE575370-164220	Vivassen	12-s	0	0_SE575370-164220	[12  8  7  6  1]	4	[1]	2	False	[12  8  7  6  1]	4
0.0		seasonal	0.252	3.5	0.26	0.26	POOR	SE573940-163560	Västrumsfjärden	12-s	0	0_SE573940-163560	[12  8  7  6  2  1]	4	[2 1]	4	True	[12  8  7  6  2  1]	4
0.0		no_deficiency	1.0	3.5	6.52	6.52	HIGH	SE565800-163000	Lövöområdet sek namn	8	0	0_SE565800-163000	[12  8  7  6  2  1]	4	[2 1]	3	True	[12  8  7  6  2  1]	4
0.0		no_deficiency	1.0	3.5	6.42	6.42	HIGH	SE570340-163710	Ödänglaområdet sek namn	8	0	0_SE570340-163710	[12  8  7  6  1  5]	4	[1 5]	4	True	[12  8  7  6  1  5]	4
0.0		no_deficiency	1.0	3.5	5.75	5.75	HIGH	SE570500-163750	Emområdet sek namn	8	0	0_SE570500-163750	[12  8  7  6  1]	4	[1]	3	True	[12  8  7  6  1]	4
0.0		no_deficiency	1.0	3.5	6.3774999999999995	6.3774999999999995	HIGH	SE563825-161810	Västra sjön	8	0	0_SE563825-161810	[12  8  7  6  2  1]	4	[2 1]	3	True	[12  8  7  6  2  1]	4
0.0		seasonal	0.4363636363636364	3.5	1.2	1.2	MODERATE	SE659024-162417	Edsviken	24	0	0_SE659024-162417	[12  8  7  6  2  1  3 11 10  9  5  4]	4	[2 1 3 5 4]	4	True	[12  8  7  6  2  1  3 11 10  9  5  4]	4
0.0		no_deficiency	1.0	3.5	6.965	6.965	HIGH	SE572205-163500	Fågelöfjärden	8	0	0_SE572205-163500	[12  8  7  6  2  1]	4	[2 1]	4	True	[12  8  7  6  2  1]	4
0.0		no_deficiency	1.0	3.5	6.11	6.11	HIGH	SE571552-162848	Inre Oskarshamnsområdet	8	0	0_SE571552-162848	[12  8  7  6  2  1]	4	[2 1]	2	False	[12  8  7  6  2  1]	4
0.0		seasonal	0.6635714285714285	3.5	2.545	2.545	GOOD	SE583000-165600	Arkösund	12-n	0	0_SE583000-165600	[12 10  8  7  6  2]	4	[2]	4	True	[12 10  8  7  6  2]	4
0.0		no_deficiency	1.0	3.5	6.975	6.975	HIGH	SE560940-151740	Ronnebyfjärden	8	0	0_SE560940-151740	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.0		no_deficiency	1.0	3.5	6.8500000000000005	6.8500000000000005	HIGH	SE560500-154880	Torhamnsfjärden	8	0	0_SE560500-154880	[12 11 10  9  8  7  6  5  4  3  2  1]	4	[5 4 3 2 1]	4	True	[12 11 10  9  8  7  6  5  4  3  2  1]	4
0.0		no_deficiency	1.0	3.5	6.1	6.1	HIGH	SE560810-153980	Östra fjärden	8	0	0_SE560810-153980	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.0		no_deficiency	1.0	3.5	6.499999999999999	6.499999999999999	HIGH	SE560780-153500	Yttre redden	8	0	0_SE560780-153500	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.0		no_deficiency	1.0	3.5	6.15	6.15	HIGH	SE560795-154730	Hallarumsviken	8	0	0_SE560795-154730	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.4651710223665192		no_deficiency	1.0	3.5	5.75	5.75	HIGH	SE560775-153055	Västra fjärden	8	0	0_SE560775-153055	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
46.924746566547825		seasonal	0.46636363636363637	3.5	1.365	1.365	MODERATE	SE582460-164500	Trännöfjärden	12-s	0	0_SE582460-164500	[12 10  8  7  6  3  2]	4	[3 2]	4	True	[12 10  8  7  6  3  2]	4
0.0		no_deficiency	1.0	3.5	6.750000000000001	6.750000000000001	HIGH	SE560825-144215	Inre Pukaviksbukten	8	0	0_SE560825-144215	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
0.0		no_deficiency	1.0	3.5	5.875000000000001	5.875000000000001	HIGH	SE560205-143545	Sölvesborgsviken	7	0	0_SE560205-143545	[12  8  7  2  1]	4	[2 1]	4	True	[12  8  7  2  1]	4
76.51592170266682	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.5863636363636364	3.5	2.0250000000000004	2.0250000000000004	MODERATE	SE580000-164060	Kaggebofjärden	12-s	0	0_SE580000-164060	[12 10  8  7  6  4  2]	4	[4 2]	4	True	[12 10  8  7  6  4  2]	4
89.57090318044702		seasonal	0.92975	3.5	2.81	2.81	HIGH	SE562450-122751	Skäldervikens kustvatten	5	0	0_SE562450-122751	[8 1]	2	[1]	2	False	[8 1]	2
0.0		no_deficiency	1.0	3.5	4.915	4.915	HIGH	SE602400-183190	Gällfjärden	16	0	0_SE602400-183190	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	6.2125	6.2125	HIGH	SE603190-174000	Karlholmsfjärden	16	0	0_SE603190-174000	[8 7]	4	[]	0	False	[8 7]	4
0.0		no_deficiency	1.0	3.5	4.335	4.335	HIGH	SE593750-184900	Yxlaområdet	12-n	0	0_SE593750-184900	[8 7]	4	[]	0	False	[8 7]	4
