VISS_EU_CD	local_EQR	PHOS	SALT	YEAR_count	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
SE560795-154730	0.8856963776190695	0.34125	6.862291666666668	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.8270833333333334	0.8796803974937574	HIGH	(0, 'SE560795-154730')
SE560775-153055	0.5900116295593583	0.48916666666666664	7.307500000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9410416666666667	0.5333444091041507	MODERATE	(0, 'SE560775-153055')
SE560700-155801	0.4034885809567512	0.6416666666666666	7.5183333333333335	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	1.1616666666666666	0.341860726195939	POOR	(0, 'SE560700-155801')
SE582460-164500	0.2686173008105947	1.0314166666666666	5.741666666666667	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.3323333333333331	0.18525331090385844	BAD	(0, 'SE582460-164500')
SE581520-165000	0.26242819589423927	1.0074166666666666	6.725	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.275875	0.1809849626856823	BAD	(0, 'SE581520-165000')
SE560825-144215	0.4530859472253368	0.56375	6.851249999999999	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	1.0183333333333333	0.40293899735746364	MODERATE	(0, 'SE560825-144215')
SE621688-144133	0.44253731653726863	0.58375	7.67	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.93625	0.3906716456715858	POOR	(0, 'SE621688-144133')
SE560900-145280	0.4339348045371899	0.6133333333333334	6.802500000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	1.0691666666666666	0.3799185056714874	POOR	(0, 'SE560900-145280')
SE560205-143545	0.38943255014533684	0.6633333333333333	7.415	4	['07 - Skånes kustvatten']	1.1712500000000001	0.3242906876816711	POOR	(0, 'SE560205-143545')
SE581000-164020	0.2178455649399418	1.174375	5.445833333333333	4	['13 - Östergötlands inre kustvatten']	1.6251666666666666	0.15023832064823575	BAD	(0, 'SE581000-164020')
SE580585-164720	0.24978296809624911	1.0789583333333332	6.379166666666667	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.3323749999999999	0.1722641159284477	BAD	(0, 'SE580585-164720')
SE580735-165296	0.2604962089257189	1.0384583333333333	6.875	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.2668749999999998	0.17965255787980616	BAD	(0, 'SE580735-165296')
SE580000-164060	0.29305816771507287	0.8930833333333332	5.433333333333334	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.1601666666666666	0.20407755695343052	POOR	(0, 'SE580000-164060')
SE554800-142001	0.4917593098959214	0.5393749999999999	7.801583333333333	4	['07 - Skånes kustvatten']	0.8859583333333334	0.439770771329449	MODERATE	(0, 'SE554800-142001')
