STATUS2013din_winter	EU_CD	YEAR_count2013din_winter	global_EQR2013din_winter	WATER_TYPE_AREA	STATUS2017din_winter	YEAR_count2017din_winter	global_EQR2017din_winter	changedin_winter	STATUS2013ntot_winter	YEAR_count2013ntot_winter	global_EQR2013ntot_winter	STATUS2017ntot_winter	YEAR_count2017ntot_winter	global_EQR2017ntot_winter	changentot_winter	STATUS2013	YEAR_count2013	global_EQR2013	STATUS2017	YEAR_count2017	global_EQR2017	change
BAD	SE592600-181135	5	0.1465706369546506	24 - Stockholms inre skärgård och Hallsfjärden	POOR	5	0.2135381038860507	2	BAD	5	0.16287817013942765	BAD	5	0.1718109522019147	0	MODERATE	5	0.4048742889287068	POOR	5	0.34462299479969694	2
POOR	SE591920-180800	6	0.23013337360281547	24 - Stockholms inre skärgård och Hallsfjärden	MODERATE	6	0.40792910847162217	2	POOR	6	0.227794285635543	POOR	6	0.2699877276626142	0	POOR	6	0.32056085364453907	POOR	6	0.26376094326458843	0
HIGH	SE654820-222660	3	0.8571705755796621	22 - Norra Bottenviken. Inre kustvatten	HIGH	3	0.9101592531576057	0	GOOD	3	0.7014114263965425	HIGH	3	0.8152394145283174	2	GOOD	6	0.7641445046437061	GOOD	6	0.7754773647066828	0
MODERATE	SE654470-222700	6	0.5661450577259218	22 - Norra Bottenviken. Inre kustvatten	GOOD	6	0.6298011874368573	1	GOOD	6	0.6757521427387791	GOOD	6	0.7581075325462145	0	HIGH	6	0.872391580255004	HIGH	6	0.8771546074076166	0
POOR	SE592790-183000	6	0.22394505315373447	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	6	0.3696316764947232	0	POOR	6	0.25915999773783394	POOR	6	0.2832225353342139	0	MODERATE	6	0.5573202951428703	MODERATE	6	0.523603823877747	0
POOR	SE591905-185275	6	0.31484704233174776	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	POOR	6	0.3817815119506139	0	MODERATE	6	0.545420333211473	MODERATE	6	0.534995473119111	0	HIGH	6	0.8262271992306337	GOOD	6	0.7806515089944872	2
BAD	SE659024-162417	3	0.17646694902038226	24 - Stockholms inre skärgård och Hallsfjärden	POOR	3	0.2969190450028525	2	BAD	3	0.18454905747302025	BAD	3	0.19506923113263766	0	MODERATE	5	0.40691424191870934	POOR	5	0.34513553949750575	2
MODERATE	SE633550-200700	5	0.42692546324172637	21 - Norra Kvarkens yttre kustvatten	MODERATE	5	0.4613209261502724	0	HIGH	5	0.8787831017219614	HIGH	5	0.9652192447355452	0	HIGH	6	0.8774498617488784	HIGH	6	0.8353656140916167	0
MODERATE	SE636570-203590	5	0.44713794140000535	20 - Norra Kvarkens inre kustvatten	MODERATE	5	0.4966703354889908	0	HIGH	5	0.8315418727628648	HIGH	5	0.8942132151558642	0	HIGH	6	0.9012082590928421	HIGH	6	0.8608723007555886	0
POOR	SE552170-130626	2	0.27874801486917533	07 - Skånes kustvatten	POOR	2	0.2793753401932152	0	MODERATE	2	0.5796968728169214	MODERATE	2	0.46775590704862446	0	HIGH	2	0.9555308504724848	HIGH	2	0.955697609783213	0
MODERATE	SE563330-124600	6	0.41340213921082497	05 - Södra Hallands och norra Öresunds kustvatten	MODERATE	6	0.41340213921082497	0	HIGH	6	0.810075610323484	GOOD	6	0.6586462294952896	2	GOOD	6	0.6368582936900028	GOOD	6	0.6368582936900028	0
MODERATE	SE580000-164060	5	0.4652321684808775	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	MODERATE	5	0.4891806664220192	0	MODERATE	5	0.4779789166406971	MODERATE	5	0.5018261638472076	0	MODERATE	6	0.570628524710632	MODERATE	6	0.5681169376970545	0
