TYPE_AREA_NUMBER	TYPE_AREA_SUFFIX	EU_CD	BASIN_NUMBER	HID	NAME	CENTER_LAT	CENTER_LON	URL_VISS
12	s	SE582460-164500	141014.0	582460-164500	Trännöfjärden	"58° 25' 0,080"""	"16° 41' 45,985"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582460-164500
12	s	SE582600-163810	141015.0	582600-163810	Merumsfjärden	"58° 25' 53,790"""	"16° 38' 3,098"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582600-163810
13		SE582705-163350	141016.0	582705-163350	Inre Slätbaken	"58° 27' 55,197"""	"16° 30' 25,591"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582705-163350
12	s	SE582050-165820	141017.0	582050-165820	Kärrfjärden	"58° 21' 56,292"""	"16° 57' 4,732"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582050-165820
12	s	SE582055-165230	141018.0	582055-165230	Hålfjärden	"58° 21' 20,551"""	"16° 51' 26,900"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582055-165230
14		SE580950-170601	141019.0	580950-170601	Gryts skärgårds kustvatten	"58° 13' 34,732"""	"17° 5' 28,016"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580950-170601
14		SE580380-170001	141020.0	580380-170001	Valdemarsviks kustvatten	"58° 2' 37,061"""	"16° 57' 39,163"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580380-170001
12	s	SE581740-170260	141021.0	581740-170260	Turmulefjärden	"58° 16' 53,786"""	"17° 1' 12,981"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581740-170260
12	s	SE581800-170000	141022.0	581800-170000	Kullskärsdjupet	"58° 17' 54,307"""	"16° 58' 44,711"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581800-170000
12	s	SE581660-165710	141023.0	581660-165710	Håsköfjärden sek namn	"58° 15' 17,610"""	"16° 56' 50,997"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581660-165710
12	s	SE581820-165500	141024.0	581820-165500	Finnfjärden	"58° 18' 19,558"""	"16° 54' 10,259"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581820-165500
12	s	SE581520-165000	141025.0	581520-165000	Orren	"58° 14' 58,443"""	"16° 47' 21,273"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581520-165000
12	s	SE581960-164890	141026.0	581960-164890	Korsfjärden	"58° 19' 11,257"""	"16° 48' 18,304"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581960-164890
12	s	SE582070-164820	141027.0	582070-164820	Lagnöströmmen	"58° 20' 37,097"""	"16° 47' 48,384"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582070-164820
12	s	SE581975-164500	141028.0	581975-164500	Lindensfjärden	"58° 19' 27,970"""	"16° 43' 44,144"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581975-164500
12	s	SE581815-164320	141029.0	581815-164320	Sandfjärden	"58° 18' 2,955"""	"16° 43' 7,190"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581815-164320
13		SE582000-164145	141030.0	582000-164145	Gropviken	"58° 19' 45,940"""	"16° 42' 5,238"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582000-164145
12	s	SE581280-170070	141031.0	581280-170070	Ytteröområdet	"58° 12' 25,516"""	"16° 59' 36,256"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581280-170070
12	s	SE581240-165220	141032.0	581240-165220	Hesselöfjärden	"58° 12' 41,487"""	"16° 52' 9,031"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581240-165220
12	s	SE580890-165500	141033.0	580890-165500	Flisdjupet	"58° 9' 10,771"""	"16° 53' 57,172"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580890-165500
12	s	SE580735-165296	141034.0	580735-165296	Halsöfjärden	"58° 6' 53,601"""	"16° 52' 8,862"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580735-165296
12	s	SE580585-164720	141035.0	580585-164720	Yttre Valdemarsviken	"58° 4' 58,086"""	"16° 47' 20,817"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580585-164720
13		SE581000-164020	141036.0	581000-164020	Inre Valdemarsviken	"58° 9' 50,080"""	"16° 40' 17,076"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581000-164020
12	s	SE580205-165162	141037.0	580205-165162	Kvädöfjärden	"58° 2' 8,883"""	"16° 50' 29,553"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580205-165162
12	s	SE580375-164500	141038.0	580375-164500	Licknevarpefjärden	"58° 3' 51,476"""	"16° 45' 6,535"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580375-164500
12	s	SE580000-164500	141039.0	580000-164500	Lindödjupet	"57° 59' 32,187"""	"16° 44' 3,290"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580000-164500
12	s	SE580000-164060	141040.0	580000-164060	Kaggebofjärden	"58° 0' 14,840"""	"16° 40' 15,771"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580000-164060
12	s	SE575880-164000	141041.0	575880-164000	Gisslöfjärden sek namn	"57° 58' 47,150"""	"16° 39' 32,636"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575880-164000
13		SE580250-164000	141042.0	580250-164000	Edsviken	"58° 2' 33,464"""	"16° 39' 49,930"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580250-164000
12	s	SE575782-165143	141043.0	575782-165143	Erskärområdet sek namn	"57° 56' 57,743"""	"16° 51' 30,862"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575782-165143
12	n	SE583875-170270	141044.0	583875-170270	Sillöfjärden	"58° 38' 43,329"""	"17° 2' 11,073"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583875-170270
