WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area
Yttre Björköfjärden	2	2	2011-11-09	615500-173001	18	621920-175280	SE2	SE621920-175280	SE2	SE	18	18	12141.80532	1372799.276
Lubban	2	2	2011-11-09	615500-173001	18	621720-175130	SE2	SE621720-175130	SE2	SE	18	18	9360.648516	917205.812
Börstskärsfjärden	1	2	2011-11-09	652630-220570	22	654490-220870	SE1	SE654490-220870	SE1	SE	22	22	50063.36774	48503417.98
Måttsundsfjärden	1	2	2011-11-09	652630-220570	22	655120-220380	SE1	SE655120-220380	SE1	SE	22	22	40507.44735	12658383.85
S m Bottenvikens kustvatten	1	2	2011-11-17	644330-212250	23	647050-213980	SE1	SE648760-213140	SE1	SE	23	23	161302.8268	296170803.7
Hålfjärden	1	2	2011-11-17	644380-211703	22	647260-212660	SE1	SE647260-212660	SE1	SE	22	22	31008.01453	18587971.21
Sandvikssundet	1	2	2011-11-17	643820-212260	22	645670-214290	SE1	SE645670-214290	SE1	SE	22	22	13737.72887	3935023.167
Skelleftebukten	1	2	2011-11-17	643820-212260	23	646360-213700	SE1	SE646360-213700	SE1	SE	23	23	47649.27602	59221442.82
Tavlefjärden	1	2	2011-11-18	634550-202500	20	637640-204160	SE1	SE637640-204160	SE1	SE	20	20	19532.82901	2138137.191
Raggavaviken	1	2	2011-11-18	634350-202900	20	637070-204260	SE1	SE637070-204260	SE1	SE	20	20	5000.09371	430296.7391
Yttre Täftefjärden	1	2	2011-11-18	634350-202900	20	637310-204860	SE1	SE637310-204860	SE1	SE	20	20	60009.3256	35707626.48
Fjärdgrundsområdet sek namn	1	2	2011-11-21	633870-202230	20	636570-203590	SE1	SE636570-203590	SE1	SE	20	20	47111.63788	28169659.55
Österlångslädan	1	2	2011-11-21	633870-202230	20	636910-204040	SE1	SE636910-204040	SE1	SE	20	20	8402.431445	952888.3999
Megrundsområdet	1	2	2011-11-21	633460-195860	20	636150-199220	SE1	SE636150-199220	SE1	SE	20	20	2261.276859	152143.3164
Hörnefors området sek namn	1	2	2011-11-21	633460-195860	20	635660-199490	SE1	SE635660-199490	SE1	SE	20	20	66955.21698	61099032.38
Tallaröfjärden	3	1	2006-12-31		24	592400-181860	SE3	SE592400-181860	SE3	SE	24	24	23506.08079	3172888.094
Erstaviken	3	2	2006-12-31		12	591400-182320	SE3	SE591400-182320	SE3	SE	12n	12	38691.62126	17464752.93
Påskallavikområdet	4	2	2011-11-23	571000-163000	8	633846-154163	SE4	SE633846-154163	SE4	SE	8	8	35596.91589	16107028.67
Husarviken	3	1	2011-11-23		24	658436-162998	SE3	SE658436-162998	SE3	SE	24	24	1811.002838	32107.01451
Degerfjärden	2	2	2011-12-05	632246-192250	18	634040-193330	SE2	SE634040-193330	SE2	SE	18	18	96156.9843	110472203.7
Avafjärden	2	2	2011-12-05	632246-192250	18	634850-193570	SE2	SE634850-193570	SE2	SE	18	18	28571.50943	3697629.318
Harkskärsfjärden	2	2	2011-10-26	604400-174001	17	604675-172125	SE2	SE604675-172125	SE2	SE	17	17	35976.13502	16289994.34
Ällöviken	2	2	2011-10-31	632220-193051	18	632090-190370	SE2	SE632090-190370	SE2	SE	18	18	13335.64993	1322871.38
Tennviken	2	2	2011-11-07	624600-181851	18	632090-189470	SE2	SE632090-189470	SE2	SE	18	18	17272.2193	6744920.287
Törefjärden	1	2	2006-12-31		22	655260-224280	SE1	SE655260-224280	SE1	SE	22	22	32023.01904	14101278.09
Haparandafjärden sek namn	1	2	2008-09-30	654590-240680	22	654560-246250	SE1TO	SE654560-246250	SE1TO	SE	22	22	77272.66568	39743273.59
Ostnäsfjärden	1	2	2006-12-31		20	635040-204196	SE1	SE635040-204196	SE1	SE	20	20	19726.83486	7505501.58
Ultråfjärden	2	2	2011-10-31	632220-193051	18	632670-190860	SE2	SE632670-190860	SE2	SE	18	18	5619.460521	853098.5236
Alnösundet	2	2	2006-12-31		18	622500-172430	SE2	SE622500-172430	SE2	SE	18	18	28268.05139	11203161.16
Västerfjärden	1	2	2006-12-31		20	634230-201605	SE1	SE634230-201605	SE1	SE	20	20	60920.21853	9031869.686
Lillfjärden	1	2	2008-09-22	634676-203000	20	634950-202940	SE1	SE634950-202940	SE1	SE	20	20	4451.214014	808063.9089
Sannafjärden	2	2	2011-10-31	632220-193051	18	632760-191300	SE2	SE632760-191300	SE2	SE	18	18	23133.34721	7211206.588
Sörleviken	2	2	2011-11-07	624600-181851	18	628750-183300	SE2	SE628750-183300	SE2	SE	18	18	5055.667022	510718.1907
Yttre Gaviksfjärden	2	2	2011-11-07	624600-181851	18	628480-183070	SE2	SE628480-183070	SE2	SE	18	18	21947.17025	7865631.394
