	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	TYPE_AREA_SUFFIX	TYPE_AREA_NAME
174	Yttre Dynekilen	5	2	2006-12-31		1	585930-110800	SE5	SE585930-110800	SE5	SE	1n	1	25486.86621	6108042.897999999	n	Västkustens inre kustvatten, norra
175	Strömstadsfjorden	5	2	2006-12-31		1	585600-110880	SE5	SE585600-110880	SE5	SE	1n	1	49329.49332	8656094.42	n	Västkustens inre kustvatten, norra
176	Inre Tjärnöarkipelagen	5	2	2006-12-31		1	585200-111140	SE5	SE585200-111140	SE5	SE	1n	1	58965.73266	6704903.283	n	Västkustens inre kustvatten, norra
177	Råssö-Resöfjorden sek namn	5	2	2006-12-31		1	584890-110950	SE5	SE584890-110950	SE5	SE	1n	1	64171.216929999995	14415867.82	n	Västkustens inre kustvatten, norra
178	Stridsfjorden	5	2	2006-12-31		1	584750-111185	SE5	SE584750-111185	SE5	SE	1n	1	20279.3955	4899745.672	n	Västkustens inre kustvatten, norra
179	Lindöfjorden sek namn	5	2	2006-12-31		1	584725-111050	SE5	SE584725-111050	SE5	SE	1n	1	36347.92135	5811918.585	n	Västkustens inre kustvatten, norra
180	Tanumskilen	5	2	2006-12-31		1	584670-111300	SE5	SE584670-111300	SE5	SE	1n	1	11055.37829	1057219.772	n	Västkustens inre kustvatten, norra
181	Grebbestad inre skärgård	5	2	2006-12-31		1	584030-111400	SE5	SE584030-111400	SE5	SE	1n	1	49612.12214	8606519.512	n	Västkustens inre kustvatten, norra
182	Bottnefjorden	5	2	2006-12-31		1	582850-111760	SE5	SE582850-111760	SE5	SE	1n	1	35740.2556	5963885.326	n	Västkustens inre kustvatten, norra
183	Färlevfjorden	5	2	2006-12-31		2	582630-113515	SE5	SE582630-113515	SE5	SE	2	2	13920.558530000002	3054600.896		Västkustens fjordar
184	Åbyfjorden	5	2	2006-12-31		1	582230-112255	SE5	SE582230-112255	SE5	SE	1n	1	34703.11255	8617755.603	n	Västkustens inre kustvatten, norra
185	Saltkällefjorden	5	2	2006-12-31		2	582500-113890	SE5	SE582500-113890	SE5	SE	2	2	16070.641480000002	4680772.535		Västkustens fjordar
186	Brofjorden	5	2	2006-12-31		2	582150-112530	SE5	SE582150-112530	SE5	SE	2	2	30693.15031	7231261.278		Västkustens fjordar
187	n Långebyområdet	5	2	2006-12-31		1	584400-116000	SE5	SE584400-116000	SE5	SE	1n	1	30938.881230000003	8139259.994	n	Västkustens inre kustvatten, norra
188	s Långebyområdet	5	2	2006-12-31		1	584363-110971	SE5	SE584363-110971	SE5	SE	1n	1	24461.9974	5062800.984	n	Västkustens inre kustvatten, norra
189	Slaholmen området	5	2	2006-12-31		1	582040-112157	SE5	SE582040-112157	SE5	SE	1n	1	1896.322355	151259.8481	n	Västkustens inre kustvatten, norra
190	Byfjorden	5	2	2006-12-31		2	582000-115270	SE5	SE582000-115270	SE5	SE	2	2	18116.01823	5798438.776000001		Västkustens fjordar
191	Trälebergskile	5	2	2006-12-31		1	581853-112736	SE5	SE581853-112736	SE5	SE	1n	1	4171.787157	631176.5281	n	Västkustens inre kustvatten, norra
192	Kalvöfjord	5	2	2006-12-31		2	581540-114000	SE5	SE581540-114000	SE5	SE	2	2	36543.87311	9812230.256000001		Västkustens fjordar
193	Getevikssund	5	2	2006-12-31		2	581570-113040	SE5	SE581570-113040	SE5	SE	2	2	11145.596790000001	1295786.217		Västkustens fjordar
194	Koljö fjord	5	2	2006-12-31		2	581260-113220	SE5	SE581260-113220	SE5	SE	2	2	51048.96052	12848779.81		Västkustens fjordar
195	Borgilefjorden	5	2	2006-12-31		2	581520-113750	SE5	SE581520-113750	SE5	SE	2	2	14631.22804	3408083.603		Västkustens fjordar
196	Nordströmmarna	5	2	2006-12-31		2	581450-113140	SE5	SE581450-113140	SE5	SE	2	2	12305.77493	1507367.476		Västkustens fjordar
197	Ellösefjorden	5	2	2006-12-31		2	581120-112680	SE5	SE581120-112680	SE5	SE	2	2	60158.50457999999	11234510.83		Västkustens fjordar
198	Boxvike kile	5	2	2006-12-31		1	580650-113000	SE5	SE580650-113000	SE5	SE	1n	1	7267.542377	700314.9474	n	Västkustens inre kustvatten, norra
199	Stigfjorden	5	2	2006-12-31		1	580325-113500	SE5	SE580325-113500	SE5	SE	1n	1	97291.90049	31948206.97	n	Västkustens inre kustvatten, norra
200	Skärhamnområdet	5	2	2006-12-31		1	580025-113168	SE5	SE580025-113168	SE5	SE	1n	1	54679.4961	11886958.08	n	Västkustens inre kustvatten, norra
201	Klädesholmenområdet	5	2	2006-12-31		1	575747-113237	SE5	SE575747-113237	SE5	SE	1n	1	26131.914240000002	3862286.2739999997	n	Västkustens inre kustvatten, norra
202	Marstrandsfjorden	5	2	2006-12-31		3	575340-113000	SE5	SE575340-113000	SE5	SE	3	3	77837.71634	52680309.76		Västkustens yttre kustvatten, Skagerrak
203	Älgöfjorden	5	2	2006-12-31		1	575500-113750	SE5	SE575500-113750	SE5	SE	1n	1	59113.2264	26949157.09	n	Västkustens inre kustvatten, norra
204	Sälö fjord	5	2	2006-12-31		1	574870-113795	SE5	SE574870-113795	SE5	SE	1s	1	156664.1073	65740763.75	s	Västkustens inre kustvatten, södra
205	Njutångersfjärden	2	2	2006-12-31		16	613591-171000	SE2	SE613591-171000	SE2	SE	16	16	33766.40943	8354024.7020000005		Södra Bottenhavet, inre kustvatten
206	Siviksfjärden	2	2	2006-12-31		16	613500-171000	SE2	SE613500-171000	SE2	SE	16	16	37692.30437	11626360.68		Södra Bottenhavet, inre kustvatten
207	Hålsängesfjärden	2	2	2006-12-31		16	613380-171450	SE2	SE613380-171450	SE2	SE	16	16	29304.18697	12623593.33		Södra Bottenhavet, inre kustvatten
208	Enångersfjärden	2	2	2006-12-31		16	613240-171000	SE2	SE613240-171000	SE2	SE	16	16	35912.03589	13313912.18		Södra Bottenhavet, inre kustvatten
209	Skärsåfjärden sek namn	2	2	2006-12-31		16	612303-171075	SE2	SE612303-171075	SE2	SE	16	16	71248.84077000001	35484265.97		Södra Bottenhavet, inre kustvatten
210	Söderhamnsfjärden	2	2	2006-12-31		16	611676-171000	SE2	SE611676-171000	SE2	SE	16	16	19900.87721	3267211.192		Södra Bottenhavet, inre kustvatten
211	Axmarfjärden	2	2	2006-12-31		16	610100-171245	SE2	SE610100-171245	SE2	SE	16	16	19453.18645	6114537.498		Södra Bottenhavet, inre kustvatten
212	Öregrundsgrepen	3	2	2006-12-31		16	603000-181500	SE3	SE603000-181500	SE3	SE	16	16	317210.6897	409955151.1		Södra Bottenhavet, inre kustvatten
213	Lövstabukten	3	2	2006-12-31		16	603650-174500	SE3	SE603650-174500	SE3	SE	16	16	102353.3236	118333770.1		Södra Bottenhavet, inre kustvatten
214	Karlholmsfjärden	3	2	2006-12-31		16	603190-174000	SE3	SE603190-174000	SE3	SE	16	16	67249.71259	15924060.57		Södra Bottenhavet, inre kustvatten
